year,state,county_name,county_fips,candidate,party,candidatevotes,totalvotes,mode
2016,ARIZONA,MARICOPA,4013,DONALD TRUMP,REPUBLICAN,747361,1567834,TOTAL
2016,ARIZONA,MARICOPA,4013,OTHER,OTHER,117566,1567834,TOTAL
2016,ARIZONA,MOHAVE,4015,HILLARY CLINTON,DEMOCRAT,17455,79943,TOTAL
2016,ARIZONA,MOHAVE,4015,DONALD TRUMP,REPUBLICAN,58282,79943,TOTAL
2016,ARIZONA,MOHAVE,4015,OTHER,OTHER,4206,79943,TOTAL
2016,ARIZONA,NAVAJO,4017,HILLARY CLINTON,DEMOCRAT,16459,40294,TOTAL
2016,ARIZONA,NAVAJO,4017,DONALD TRUMP,REPUBLICAN,20577,40294,TOTAL
2016,ARIZONA,NAVAJO,4017,OTHER,OTHER,3258,40294,TOTAL
2016,ARIZONA,PIMA,4019,HILLARY CLINTON,DEMOCRAT,224661,421640,TOTAL
2016,ARIZONA,PIMA,4019,DONALD TRUMP,REPUBLICAN,167428,421640,TOTAL
2016,ARIZONA,PIMA,4019,OTHER,OTHER,29551,421640,TOTAL
2016,ARIZONA,PINAL,4021,HILLARY CLINTON,DEMOCRAT,47892,129546,TOTAL
2016,ARIZONA,PINAL,4021,DONALD TRUMP,REPUBLICAN,72819,129546,TOTAL
2016,ARIZONA,PINAL,4021,OTHER,OTHER,8835,129546,TOTAL
2016,ARIZONA,SANTA CRUZ,4023,HILLARY CLINTON,DEMOCRAT,11690,16433,TOTAL
2016,ARIZONA,SANTA CRUZ,4023,DONALD TRUMP,REPUBLICAN,3897,16433,TOTAL
2016,ARIZONA,SANTA CRUZ,4023,OTHER,OTHER,846,16433,TOTAL
2016,ARIZONA,YAVAPAI,4025,HILLARY CLINTON,DEMOCRAT,35590,114450,TOTAL
2016,ARIZONA,YAVAPAI,4025,DONALD TRUMP,REPUBLICAN,71330,114450,TOTAL
2016,ARIZONA,YAVAPAI,4025,OTHER,OTHER,7530,114450,TOTAL
2016,ARIZONA,YUMA,4027,HILLARY CLINTON,DEMOCRAT,24605,53010,TOTAL
2016,ARIZONA,YUMA,4027,DONALD TRUMP,REPUBLICAN,25165,53010,TOTAL
2016,ARIZONA,YUMA,4027,OTHER,OTHER,3240,53010,TOTAL
2016,ARKANSAS,ARKANSAS,5001,HILLARY CLINTON,DEMOCRAT,1939,6212,TOTAL
2016,ARKANSAS,ARKANSAS,5001,DONALD TRUMP,REPUBLICAN,3826,6212,TOTAL
2016,ARKANSAS,ARKANSAS,5001,OTHER,OTHER,447,6212,TOTAL
2016,ARKANSAS,ASHLEY,5003,HILLARY CLINTON,DEMOCRAT,2408,8083,TOTAL
2016,ARKANSAS,ASHLEY,5003,DONALD TRUMP,REPUBLICAN,5338,8083,TOTAL
2016,ARKANSAS,ASHLEY,5003,OTHER,OTHER,337,8083,TOTAL
2016,ARKANSAS,BAXTER,5005,HILLARY CLINTON,DEMOCRAT,4169,19766,TOTAL
2016,ARKANSAS,BAXTER,5005,DONALD TRUMP,REPUBLICAN,14682,19766,TOTAL
2016,ARKANSAS,BAXTER,5005,OTHER,OTHER,915,19766,TOTAL
2016,ARKANSAS,BENTON,5007,HILLARY CLINTON,DEMOCRAT,28005,96824,TOTAL
2016,ARKANSAS,BENTON,5007,DONALD TRUMP,REPUBLICAN,60871,96824,TOTAL
2016,ARKANSAS,BENTON,5007,OTHER,OTHER,7948,96824,TOTAL
2016,ARKANSAS,BOONE,5009,HILLARY CLINTON,DEMOCRAT,2926,16111,TOTAL
2016,ARKANSAS,BOONE,5009,DONALD TRUMP,REPUBLICAN,12235,16111,TOTAL
2016,ARKANSAS,BOONE,5009,OTHER,OTHER,950,16111,TOTAL
2016,ARKANSAS,BRADLEY,5011,HILLARY CLINTON,DEMOCRAT,1317,3653,TOTAL
2016,ARKANSAS,BRADLEY,5011,DONALD TRUMP,REPUBLICAN,2164,3653,TOTAL
2016,ARKANSAS,BRADLEY,5011,OTHER,OTHER,172,3653,TOTAL
2016,ARKANSAS,CALHOUN,5013,HILLARY CLINTON,DEMOCRAT,639,2269,TOTAL
2016,ARKANSAS,CALHOUN,5013,DONALD TRUMP,REPUBLICAN,1556,2269,TOTAL
2016,ARKANSAS,CALHOUN,5013,OTHER,OTHER,74,2269,TOTAL
2016,ARKANSAS,CARROLL,5015,HILLARY CLINTON,DEMOCRAT,3342,10758,TOTAL
2016,ARKANSAS,CARROLL,5015,DONALD TRUMP,REPUBLICAN,6786,10758,TOTAL
2016,ARKANSAS,CARROLL,5015,OTHER,OTHER,630,10758,TOTAL
2016,ARKANSAS,CHICOT,5017,HILLARY CLINTON,DEMOCRAT,2350,4176,TOTAL
2016,ARKANSAS,CHICOT,5017,DONALD TRUMP,REPUBLICAN,1716,4176,TOTAL
2016,ARKANSAS,CHICOT,5017,OTHER,OTHER,110,4176,TOTAL
2016,ARKANSAS,CLARK,5019,HILLARY CLINTON,DEMOCRAT,3620,8526,TOTAL
2016,ARKANSAS,CLARK,5019,DONALD TRUMP,REPUBLICAN,4404,8526,TOTAL
2016,ARKANSAS,CLARK,5019,OTHER,OTHER,502,8526,TOTAL
2016,ARKANSAS,CLAY,5021,HILLARY CLINTON,DEMOCRAT,1199,5200,TOTAL
2016,ARKANSAS,CLAY,5021,DONALD TRUMP,REPUBLICAN,3781,5200,TOTAL
2016,ARKANSAS,CLAY,5021,OTHER,OTHER,220,5200,TOTAL
2016,ARKANSAS,CLEBURNE,5023,HILLARY CLINTON,DEMOCRAT,2101,12085,TOTAL
2016,ARKANSAS,CLEBURNE,5023,DONALD TRUMP,REPUBLICAN,9458,12085,TOTAL
2016,ARKANSAS,CLEBURNE,5023,OTHER,OTHER,526,12085,TOTAL
2016,ARKANSAS,CLEVELAND,5025,HILLARY CLINTON,DEMOCRAT,723,3354,TOTAL
2016,ARKANSAS,CLEVELAND,5025,DONALD TRUMP,REPUBLICAN,2462,3354,TOTAL
2016,ARKANSAS,CLEVELAND,5025,OTHER,OTHER,169,3354,TOTAL
2016,ARKANSAS,COLUMBIA,5027,HILLARY CLINTON,DEMOCRAT,3140,8887,TOTAL
2016,ARKANSAS,COLUMBIA,5027,DONALD TRUMP,REPUBLICAN,5456,8887,TOTAL
